Date,Inventory (unit: BCF)
23-05-2024,78
16-05-2024,70
09-05-2024,79
02-05-2024,59
25-04-2024,92
18-04-2024,50
11-04-2024,24
04-04-2024,-37
28-03-2024,-36
21-03-2024,7
14-03-2024,-9
07-03-2024,-40
29-02-2024,-96
22-02-2024,-60
15-02-2024,-54
08-02-2024,-75
01-02-2024,-197
25-01-2024,-326
18-01-2024,-154
11-01-2024,-140
04-01-2024,-14
28-12-2023,-87
21-12-2023,-87
14-12-2023,-55
07-12-2023,-117
30-11-2023,10
23-11-2023,-7
16-11-2023,60
09-11-2023,-6
02-11-2023,79
26-10-2023,74
19-10-2023,97
12-10-2023,84
05-10-2023,86
28-09-2023,90
21-09-2023,64
14-09-2023,57
07-09-2023,33
31-08-2023,32
24-08-2023,18
17-08-2023,35
10-08-2023,29
03-08-2023,14
27-07-2023,16
20-07-2023,41
13-07-2023,49
06-07-2023,76
29-06-2023,76
22-06-2023,95
15-06-2023,84
08-06-2023,104
01-06-2023,110
25-05-2023,96
18-05-2023,99
11-05-2023,78
04-05-2023,54
27-04-2023,79
20-04-2023,75
13-04-2023,25
06-04-2023,-23
30-03-2023,-47
23-03-2023,-72
16-03-2023,-58
09-03-2023,-84
02-03-2023,-81
23-02-2023,-71
16-02-2023,-100
09-02-2023,-217
02-02-2023,-151
26-01-2023,-86
19-01-2023,-82
12-01-2023,11
05-01-2023,-221
29-12-2022,-213
22-12-2022,-87
15-12-2022,-50
08-12-2022,-21
01-12-2022,-81
24-11-2022,-80
17-11-2022,64
10-11-2022,79
03-11-2022,107
27-10-2022,52
20-10-2022,111
13-10-2022,125
06-10-2022,129
29-09-2022,103
22-09-2022,103
15-09-2022,77
08-09-2022,54
01-09-2022,61
25-08-2022,60
18-08-2022,18
11-08-2022,44
04-08-2022,41
28-07-2022,15
21-07-2022,32
14-07-2022,58
07-07-2022,60
30-06-2022,82
23-06-2022,74
16-06-2022,92
09-06-2022,102
02-06-2022,82
26-05-2022,87
19-05-2022,89
12-05-2022,76
05-05-2022,77
28-04-2022,40
21-04-2022,53
14-04-2022,15
07-04-2022,-33
31-03-2022,26
24-03-2022,-51
17-03-2022,-79
10-03-2022,-124
03-03-2022,-139
24-02-2022,-129
17-02-2022,-190
10-02-2022,-222
03-02-2022,-268
27-01-2022,-219
20-01-2022,-206
13-01-2022,-179
06-01-2022,-31
30-12-2021,-136
23-12-2021,-55
16-12-2021,-88
09-12-2021,-59
02-12-2021,-59
25-11-2021,-21
18-11-2021,26
11-11-2021,7
04-11-2021,63
28-10-2021,87
21-10-2021,92
14-10-2021,81
07-10-2021,118
30-09-2021,88
23-09-2021,76
16-09-2021,83
09-09-2021,52
02-09-2021,20
26-08-2021,29
19-08-2021,46
12-08-2021,49
05-08-2021,13
29-07-2021,36
22-07-2021,49
15-07-2021,55
08-07-2021,16
01-07-2021,76
24-06-2021,55
17-06-2021,16
10-06-2021,98
03-06-2021,98
27-05-2021,115
20-05-2021,71
13-05-2021,71
06-05-2021,60
29-04-2021,15
22-04-2021,38
15-04-2021,61
08-04-2021,20
01-04-2021,14
25-03-2021,-32
18-03-2021,-11
11-03-2021,-52
04-03-2021,-98
25-02-2021,-338
18-02-2021,-237
11-02-2021,-171
04-02-2021,-192
28-01-2021,-128
21-01-2021,-187
14-01-2021,-134
07-01-2021,-130
31-12-2020,-114
24-12-2020,-152
17-12-2020,-122
10-12-2020,-91
03-12-2020,-1
26-11-2020,-18
19-11-2020,31
12-11-2020,8
05-11-2020,-36
29-10-2020,29
22-10-2020,49
15-10-2020,46
08-10-2020,75
01-10-2020,76
24-09-2020,66
17-09-2020,89
10-09-2020,70
03-09-2020,35
27-08-2020,45
20-08-2020,43
13-08-2020,58
06-08-2020,33
30-07-2020,26
23-07-2020,37
16-07-2020,45
09-07-2020,56
02-07-2020,65
25-06-2020,120
18-06-2020,85
11-06-2020,93
04-06-2020,102
28-05-2020,109
21-05-2020,81
14-05-2020,103
07-05-2020,109
30-04-2020,70
23-04-2020,43
16-04-2020,73
09-04-2020,38
02-04-2020,-19
26-03-2020,-29
19-03-2020,-9
12-03-2020,-48
05-03-2020,-109
27-02-2020,-143
20-02-2020,-151
13-02-2020,-115
06-02-2020,-137
30-01-2020,-201
23-01-2020,-92
16-01-2020,-109
09-01-2020,-44
02-01-2020,-58
26-12-2019,-161
19-12-2019,-107
12-12-2019,-73
05-12-2019,-19
28-11-2019,-28
21-11-2019,-94
14-11-2019,3
07-11-2019,34
31-10-2019,89
24-10-2019,87
17-10-2019,104
10-10-2019,98
03-10-2019,112
26-09-2019,102
19-09-2019,84
12-09-2019,78
05-09-2019,84
29-08-2019,60
22-08-2019,59
15-08-2019,49
08-08-2019,55
01-08-2019,65
25-07-2019,36
18-07-2019,62
11-07-2019,81
04-07-2019,89
27-06-2019,98
20-06-2019,115
13-06-2019,102
06-06-2019,119
30-05-2019,114
23-05-2019,100
16-05-2019,106
09-05-2019,85
02-05-2019,123
25-04-2019,92
18-04-2019,92
11-04-2019,25
04-04-2019,23
28-03-2019,-36
21-03-2019,-47
14-03-2019,-204
07-03-2019,-149
28-02-2019,-166
21-02-2019,-177
14-02-2019,-78
07-02-2019,-237
31-01-2019,-173
24-01-2019,-163
17-01-2019,-81
10-01-2019,-91
03-01-2019,-20
27-12-2018,-48
20-12-2018,-141
13-12-2018,-77
06-12-2018,-63
29-11-2018,-59
22-11-2018,-134
15-11-2018,39
08-11-2018,65
01-11-2018,48
25-10-2018,58
18-10-2018,81
11-10-2018,90
04-10-2018,98
27-09-2018,46
20-09-2018,86
13-09-2018,69
06-09-2018,63
30-08-2018,69
23-08-2018,49
16-08-2018,33
09-08-2018,48
02-08-2018,33
26-07-2018,24
19-07-2018,45
12-07-2018,51
05-07-2018,78
28-06-2018,66
21-06-2018,91
14-06-2018,96
07-06-2018,92
31-05-2018,96
24-05-2018,91
17-05-2018,106
10-05-2018,89
03-05-2018,62
26-04-2018,-18
19-04-2018,-36
12-04-2018,-19
05-04-2018,-29
29-03-2018,-63
22-03-2018,-86
15-03-2018,-93
08-03-2018,-57
01-03-2018,-78
22-02-2018,-124
15-02-2018,-194
08-02-2018,-119
01-02-2018,-99
25-01-2018,-288
18-01-2018,-183
11-01-2018,-359
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
